STATE,number of casualty,crime rate
Michigan,0.3337888623163649,0.5708955223880597
Missouri,0.3518961393918688,0.6455223880597015
Tennessee,0.41305090536385375,0.7873134328358209
New York,0.4653228561667236,0.46766169154228854
Louisiana,0.4735223778612914,0.7039800995024875
Ohio,0.5514178339596857,0.373134328358209
Pennsylvania,0.6269217628971643,0.39303482587064675
Texas,0.7690468056030065,0.5398009950248757
Illinois,0.9952169456781688,0.5422885572139303
California,1.0,0.5534825870646766
